,Unnamed: 0,Institution,Title,Department,STEM,NON-STEM,Ethnea,Genni,AdjSalary,PostdocNum,Associate,Intern,Fellow,Clinical,Trainee,Researcher,Scholar,Senior,Faculty,Assistant,Teaching,NIH_grants,NIH_order,State
86,86,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
87,87,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
88,88,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
89,89,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
90,90,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
91,91,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
92,92,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
93,93,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
94,94,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
95,95,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
96,96,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
97,97,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
98,98,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
99,99,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
100,100,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
101,101,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
102,102,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
103,103,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
104,104,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
105,105,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
106,106,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
107,107,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
108,108,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
109,109,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
110,110,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
111,111,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
112,112,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
113,113,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
114,114,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
115,115,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
116,116,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
117,117,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
118,118,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
119,119,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
120,120,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
121,121,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
122,122,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
123,123,Boston University,Postdoctoral Associate,,,,False,False,47500.08,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
124,124,Boston University,Postdoctoral Associate,,,,False,False,47500.08,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
