,Institution,Title,AdjSalary,PostdocNum,Senior,Fellow,Faculty,Scholar,Assistant,Clinical,Researcher,Teaching,Intern,Trainee,Associate,NIH_grants,NIH_order,NSF,NSF_order,State
95,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
96,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
97,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
98,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
99,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
100,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
101,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
102,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
103,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
104,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
105,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
106,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
107,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
108,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
109,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
110,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
111,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
112,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
113,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
114,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
115,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
116,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
117,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
118,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
119,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
120,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
121,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
122,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
123,Boston University,Postdoctoral Associate,47500.08,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
124,Boston University,Postdoctoral Associate,47500.08,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
125,Boston University,Postdoctoral Associate,47500.08,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
126,Boston University,Postdoctoral Associate,47500.08,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
127,Boston University,Postdoctoral Associate,47500.08,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
128,Boston University,Postdoctoral Associate,47500.08,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
129,Boston University,Postdoctoral Associate,47556,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
130,Boston University,Postdoctoral Associate,47690.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
131,Boston University,Postdoctoral Associate,47844,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
132,Boston University,Postdoctoral Associate,47844,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
133,Boston University,Postdoctoral Associate,47844,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
134,Boston University,Postdoctoral Associate,48000,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
135,Boston University,Post Graduate Fellow,48000,297,0,1,0,0,0,0,0,0,0,0,0,172328687,6,395921,19,MA
136,Boston University,Post Graduate Fellow,48000,297,0,1,0,0,0,0,0,0,0,0,0,172328687,6,395921,19,MA
137,Boston University,Post Graduate Fellow,48000,297,0,1,0,0,0,0,0,0,0,0,0,172328687,6,395921,19,MA
138,Boston University,Post Graduate Fellow,48000,297,0,1,0,0,0,0,0,0,0,0,0,172328687,6,395921,19,MA
